1652,14,478.27,168.84,37.92,68.00,1,-1,-1,-1
1653,14,477.30,170.60,36.48,65.36,1,-1,-1,-1
1654,14,476.29,172.56,35.96,64.37,1,-1,-1,-1
1655,14,475.27,173.24,35.78,64.01,1,-1,-1,-1
1656,14,474.05,174.79,36.79,65.90,1,-1,-1,-1
1657,14,472.31,176.64,37.15,66.60,1,-1,-1,-1
1658,14,471.69,177.30,37.26,66.87,1,-1,-1,-1
1659,14,471.50,178.82,37.29,66.97,1,-1,-1,-1
1660,14,471.00,180.67,36.24,65.03,1,-1,-1,-1
1661,14,469.98,181.32,36.91,66.29,1,-1,-1,-1
1662,14,468.50,180.21,39.40,70.71,1,-1,-1,-1
1663,14,467.31,180.41,40.35,72.36,1,-1,-1,-1
1664,14,467.43,180.45,39.62,71.04,1,-1,-1,-1
1665,14,467.43,181.74,38.18,68.52,1,-1,-1,-1
1666,14,466.24,182.86,38.75,69.55,1,-1,-1,-1
1667,14,465.72,185.22,37.82,67.95,1,-1,-1,-1
1668,14,464.34,185.42,38.59,69.32,1,-1,-1,-1
1669,14,465.31,188.09,35.28,63.26,1,-1,-1,-1
1670,14,464.38,190.44,33.99,60.87,1,-1,-1,-1
1671,14,461.84,189.19,37.32,66.84,1,-1,-1,-1
1672,14,460.87,190.70,37.36,66.98,1,-1,-1,-1
1673,14,460.73,192.56,36.32,65.06,1,-1,-1,-1
1674,14,460.72,193.22,35.93,64.32,1,-1,-1,-1
1675,14,459.40,194.10,35.80,64.04,1,-1,-1,-1
1676,14,458.08,195.05,36.82,65.94,1,-1,-1,-1
1677,14,457.81,196.03,36.14,64.69,1,-1,-1,-1
1678,14,457.71,198.35,33.29,59.54,1,-1,-1,-1
1679,14,454.22,196.42,37.16,66.50,1,-1,-1,-1
1680,14,453.03,197.08,38.46,68.84,1,-1,-1,-1
1681,14,451.96,197.95,38.97,69.76,1,-1,-1,-1
1682,14,450.94,198.91,39.15,70.10,1,-1,-1,-1
1683,14,449.84,201.86,38.07,68.26,1,-1,-1,-1
1684,14,449.01,204.28,36.58,65.53,1,-1,-1,-1
1685,14,446.72,203.81,39.39,70.52,1,-1,-1,-1
1686,14,445.81,204.28,39.30,70.37,1,-1,-1,-1
1687,14,444.86,205.07,39.24,70.28,1,-1,-1,-1
1688,14,444.45,206.65,38.07,68.26,1,-1,-1,-1
1689,14,444.36,207.88,37.60,67.47,1,-1,-1,-1
1690,14,443.90,208.96,36.35,65.18,1,-1,-1,-1
1691,14,443.76,209.99,35.90,64.32,1,-1,-1,-1
1692,14,442.20,211.01,36.81,66.01,1,-1,-1,-1
1693,14,443.14,215.30,33.51,60.06,1,-1,-1,-1
1694,14,443.58,215.53,32.23,57.72,1,-1,-1,-1
1695,14,443.55,218.98,29.45,52.83,1,-1,-1,-1
1696,14,443.80,220.86,27.35,49.02,1,-1,-1,-1
1697,14,441.68,221.43,29.00,52.00,1,-1,-1,-1
1698,14,440.31,222.29,29.54,52.98,1,-1,-1,-1
1699,14,439.25,222.54,30.91,55.41,1,-1,-1,-1
1700,14,438.78,223.92,30.31,54.36,1,-1,-1,-1
1701,14,436.83,223.71,32.38,57.98,1,-1,-1,-1
1702,14,435.47,223.63,33.16,59.30,1,-1,-1,-1
1703,14,434.87,225.50,32.37,57.86,1,-1,-1,-1
1704,14,434.51,226.84,29.77,53.31,1,-1,-1,-1
1705,14,432.58,227.29,31.11,55.67,1,-1,-1,-1
1706,14,430.62,226.79,34.15,61.09,1,-1,-1,-1
1707,14,428.62,227.22,35.31,63.12,1,-1,-1,-1
1708,14,427.92,228.65,34.36,61.34,1,-1,-1,-1
1709,14,427.04,231.15,33.98,60.59,1,-1,-1,-1
1710,14,424.69,231.39,35.30,62.94,1,-1,-1,-1
1711,14,423.00,232.12,36.82,65.75,1,-1,-1,-1
1712,14,421.76,233.01,37.37,66.82,1,-1,-1,-1
1713,14,420.69,233.32,37.55,67.21,1,-1,-1,-1
1714,14,419.12,233.41,38.69,69.28,1,-1,-1,-1
1715,14,418.47,234.71,38.00,68.11,1,-1,-1,-1
1716,14,419.13,235.84,36.65,65.65,1,-1,-1,-1
1717,14,418.77,236.24,36.14,64.67,1,-1,-1,-1
1718,14,419.97,239.67,33.35,59.66,1,-1,-1,-1
1719,14,419.21,240.93,33.46,59.78,1,-1,-1,-1
1720,14,418.28,242.68,33.53,59.83,1,-1,-1,-1
1721,14,416.62,243.29,33.58,59.86,1,-1,-1,-1
1722,14,417.17,246.14,31.32,55.88,1,-1,-1,-1
